customer_id,customer_name,email,city,state,registration_date
CUST0078,Customer 78,customer78@example.com,Hyderabad,Telangana,2024-09-05
CUST0079,Customer 79,customer79@example.com,Pune,Maharashtra,2024-05-15
CUST0080,Customer 80,customer80@example.com,Hyderabad,Telangana,2023-04-25
CUST0081,Customer 81,customer81@example.com,Pune,Maharashtra,2023-11-11
CUST0082,Customer 82,customer82@example.com,Mumbai,Maharashtra,2023-03-01
CUST0083,Customer 83,customer83@example.com,Mumbai,Maharashtra,2024-08-03
CUST0084,Customer 84,customer84@example.com,Bengaluru,Karnataka,2023-03-29
CUST0085,Customer 85,customer85@example.com,Ahmedabad,Gujarat,2023-03-12
CUST0086,Customer 86,customer86@example.com,Chennai,Tamil Nadu,2023-05-12
CUST0087,Customer 87,customer87@example.com,Ahmedabad,Gujarat,2024-07-16
CUST0088,Customer 88,customer88@example.com,Chennai,Tamil Nadu,2023-09-29
CUST0089,Customer 89,customer89@example.com,Kolkata,West Bengal,2023-08-05
CUST0090,Customer 90,customer90@example.com,Mumbai,Maharashtra,2024-12-31
CUST0091,Customer 91,customer91@example.com,Delhi,Delhi,2024-02-13
CUST0092,Customer 92,customer92@example.com,Pune,Maharashtra,2024-03-24
CUST0093,Customer 93,customer93@example.com,Ahmedabad,Gujarat,2023-05-04
CUST0094,Customer 94,customer94@example.com,Mumbai,Maharashtra,2023-08-19
CUST0095,Customer 95,customer95@example.com,Bengaluru,Karnataka,2023-12-13
CUST0096,Customer 96,customer96@example.com,Hyderabad,Telangana,2024-08-25
CUST0097,Customer 97,customer97@example.com,Mumbai,Maharashtra,2024-08-25
CUST0098,Customer 98,customer98@example.com,Mumbai,Maharashtra,2023-01-08
CUST0099,Customer 99,customer99@example.com,Bengaluru,Karnataka,2024-12-25
CUST0100,Customer 100,customer100@example.com,Hyderabad,Telangana,2023-08-23
